Date Time Alt_(m) pH Alk_(uEq/L) Temp_(degC) [Ca]_(mg/L) EpCO2_rough EpCO2_less_rough EpCO2_less_rough_incl_CO3 EpCO2_accurate EpCO2_accurate_corr_alt Charge_balance Total_[Ca]_(M/L) CaCO3_sat_(Log) k0_pCO2-H2CO3 k1_H2CO3-HCO3 k2_HCO3-CO3 k3_CaHCO3 k4_CaCO3(0) k5_Ca(OH) k6_H2O k7_CaCO3(SO) OH H2CO3 HCO3 CO3 Ca2+ CaHCO3 CaCO3 CaOH root(I) gamma1 gamma2
09/09/2014 09:00 0.0 8.3 3930.0 12.2 0.00 3.839 3.369 3.316 3.436 3.436 -1.2e-09 0.000e+00 nan 5.031e-02 3.506e-07 3.439e-11 1.435e-01 9.296e-04 3.981e-02 3.493e-15 3.869e-09 6.811e-07 5.466e-05 3.737e-03 2.506e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.69e-02 0.965 0.868
09/09/2014 10:00 0.0 8.4 3880.0 10.6 0.00 3.081 2.656 2.607 2.701 2.701 -5.2e-09 0.000e+00 nan 5.301e-02 3.388e-07 3.289e-11 1.507e-01 9.477e-04 3.981e-02 3.034e-15 3.912e-09 7.279e-07 4.529e-05 3.680e-03 2.904e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.67e-02 0.965 0.869
09/09/2014 11:00 0.0 8.2 3970.0 13.6 0.00 4.663 4.156 4.101 4.249 4.249 2.8e-09 0.000e+00 nan 4.810e-02 3.608e-07 3.571e-11 1.375e-01 9.125e-04 3.981e-02 3.944e-15 3.826e-09 6.396e-07 6.464e-05 3.782e-03 2.191e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.71e-02 0.965 0.868
09/09/2014 12:00 0.0 8.3 4010.0 18.0 0.00 3.741 3.510 3.445 3.578 3.578 -1.6e-09 0.000e+00 nan 4.202e-02 3.914e-07 3.993e-11 1.201e-01 8.520e-04 3.981e-02 5.712e-15 3.670e-09 1.166e-06 4.755e-05 3.799e-03 3.097e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.74e-02 0.965 0.867
09/09/2014 13:00 0.0 8.2 3850.0 16.6 0.00 4.220 3.894 3.834 3.982 3.982 -9.7e-09 0.000e+00 nan 4.382e-02 3.819e-07 3.858e-11 1.254e-01 8.722e-04 3.981e-02 5.086e-15 3.723e-09 8.838e-07 5.518e-05 3.662e-03 2.455e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.65e-02 0.966 0.869
09/09/2014 14:00 0.0 8.4 3890.0 15.2 0.00 2.817 2.558 2.500 2.594 2.594 1.2e-09 0.000e+00 nan 4.575e-02 3.721e-07 3.724e-11 1.309e-01 8.916e-04 3.981e-02 4.521e-15 3.773e-09 1.189e-06 3.753e-05 3.674e-03 3.598e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.68e-02 0.965 0.868
09/09/2014 15:00 0.0 8.3 3940.0 17.0 0.00 3.592 3.331 3.269 3.394 3.394 -1.6e-10 0.000e+00 nan 4.330e-02 3.846e-07 3.896e-11 1.239e-01 8.665e-04 3.981e-02 5.258e-15 3.708e-09 1.099e-06 4.647e-05 3.734e-03 3.040e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.70e-02 0.965 0.868
09/09/2014 16:00 0.0 8.2 3930.0 17.8 0.00 5.061 4.738 4.673 4.855 4.855 -1.3e-09 0.000e+00 nan 4.227e-02 3.900e-07 3.973e-11 1.209e-01 8.549e-04 3.981e-02 5.619e-15 3.677e-09 8.310e-07 6.490e-05 3.744e-03 2.200e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.69e-02 0.965 0.868
09/09/2014 17:00 0.0 8.0 3680.0 16.6 0.00 6.850 6.322 6.264 6.508 6.508 -3.9e-09 0.000e+00 nan 4.382e-02 3.819e-07 3.858e-11 1.254e-01 8.722e-04 3.981e-02 5.086e-15 3.723e-09 5.204e-07 9.019e-05 3.524e-03 1.391e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.55e-02 0.966 0.871
09/09/2014 18:00 0.0 8.2 3970.0 15.3 0.00 4.771 4.337 4.278 4.436 4.436 3.5e-09 0.000e+00 nan 4.561e-02 3.729e-07 3.733e-11 1.305e-01 8.903e-04 3.981e-02 4.560e-15 3.770e-09 7.226e-07 6.398e-05 3.781e-03 2.237e-05 0.000e+00 0.000e+00 0.000e+00 0.000e+00 4.71e-02 0.965 0.868
